id,text
bear_axe,"THE AXE MISSES AND LANDS NEAR THE BEAR WHERE YOU CAN'T GET AT IT."

; === GOLDEN EGGS ===
wrong_word,"WHAT'S THE MATTER, CAN'T YOU READ?  NOW YOU'D BEST START OVER."
wrong_magic,"GOOD TRY, BUT THAT IS AN OLD WORN-OUT MAGIC WORD."
eggs_vanished,"THE NEST OF GOLDEN EGGS HAS VANISHED!"
eggs_done,"DONE!"

; === VENDING MACHINE/BATTERIES/COINS ===
batteries_appear,"THERE ARE FRESH BATTERIES HERE."

; === PLANT ===
grow_1,"THE PLANT SPURTS INTO FURIOUS GROWTH FOR A FEW SECONDS."
grow_2,"THE PLANT GROWS EXPLOSIVELY, ALMOST FILLING THE BOTTOM OF THE PIT."
over_watered,"YOU'VE OVER-WATERED THE PLANT! IT'S SHRIVELING UP! IT'S, IT'S..."
water_with_oil,"THE PLANT INDIGNANTLY SHAKES THE OIL OFF ITS LEAVES AND ASKS, `WATER?`"
cant_get_plant,"THE PLANT HAS EXCEPTIONALLY DEEP ROOTS AND CANNOT BE PULLED FREE."
hole_too_far,"IT IS TOO FAR UP FOR YOU TO REACH."

; === SHADOW ===
shadow_attention,"THE SHADOWY FIGURE SEEMS TO BE TRYING TO ATTRACT YOUR ATTENTION."

; === DRAGON ===
bare_hands,"WITH WHAT?  YOUR BARE HANDS?  AGAINST *HIS* BEAR HANDS??"
dead_dragon,"CONGRATULATIONS!  YOU HAVE JUST VANQUISHED A DRAGON WITH YOUR BARE HANDS!	(UNBELIEVABLE, ISN'T IT?)"
dragon_in_way,"THE DRAGON LOOKS RATHER NASTY.  YOU'D BEST NOT TRY TO GET BY."
already_dead_dragon,"FOR CRYING OUT LOUD, THE POOR THING IS ALREADY DEAD."
dragon_cant_eat,THERE'S NOTHING HERE IT WANTS TO EAT (EXCEPT PERHAPS YOU).
dragon_bird,"THE LITTLE BIRD ATTACKS THE GREEN DRAGON, AND IN AN ASTOUNDING FLURRY GETS BURNT TO A CINDER.  THE ASHES BLOW AWAY."
axe_bounces_dragon,"THE AXE BOUNCES HARMLESSLY OFF THE DRAGON'S THICK SCALES."

; === PLOVER ===
plover_passage_fail,"SOMETHING YOU'RE CARRYING WON'T FIT THROUGH THE TUNNEL WITH YOU.  YOU'D BEST TAKE INVENTORY AND DROP SOMETHING."

; === DRINKING ===
drink_bottle,THE BOTTLE OF WATER IS NOW EMPTY.
drink_stream,"YOU HAVE TAKEN A DRINK FROM THE STREAM.  THE WATER TASTES STRONGLY OF MINERALS, BUT IS NOT UNPLEASANT.  IT IS EXTREMELY COLD."

; === RUB LAMP ===
rub_lamp,RUBBING THE ELECTRIC LAMP IS NOT PARTICULARLY REWARDING.  ANYWAY, NOTHING EXCITING HAPPENS.

; ===  ===  ===  === 
; ===  DEFAULTS  === 
; ===  ===  ===  === 
default_feed_no_food,THERE IS NOTHING HERE TO EAT.
calm,I'M GAME.  WOULD YOU CARE TO EXPLAIN HOW?
dont_be_ridiculous,DON'T BE RIDICULOUS!
general_rub,"PECULIAR.  NOTHING UNEXPECTED HAPPENS."
find_in_room,"I BELIEVE WHAT YOU WANT IS RIGHT HERE WITH YOU."
find_carrying,"YOU ARE ALREADY CARRYING IT!"
find_default,"I CAN ONLY TELL YOU WHAT YOU SEE AS YOU MOVE ABOUT AND MANIPULATE THINGS.  I CANNOT TELL YOU WHERE REMOTE THINGS ARE."
no_dynamite,"BLASTING REQUIRES DYNAMITE."
trees,"THE TREES OF THE FOREST ARE LARGE HARDWOOD OAK AND MAPLE, WITH AN OCCASIONAL GROVE OF PINE OR SPRUCE.  THERE IS QUITE A BIT OF UNDER-GROWTH, LARGELY BIRCH AND ASH SAPLINGS PLUS NONDESCRIPT BUSHES OF VARIOUS SORTS.  THIS TIME OF YEAR VISIBILITY IS QUITE RESTRICTED BY ALL THE LEAVES, BUT TRAVEL IS QUITE EASY IF YOU DETOUR AROUND THE SPRUCE AND BERRY BUSHES."
try_to_dig,"DDIGGING WITHOUT A SHOVEL IS QUITE IMPRACTICAL.  EVEN WITH A SHOVEL PROGRESS IS UNLIKELY."
im_lost,I'M AS CONFUSED AS YOU ARE.
mist,"MIST IS A WHITE VAPOR, USUALLY WATER, SEEN FROM TIME TO TIME IN CAVERNS.  IT CAN BE FOUND ANYWHERE BUT IS FREQUENTLY A SIGN OF A DEEP PIT LEADING DOWN TO WATER."
unsure_facing,I AM UNSURE HOW YOU ARE FACING.  USE COMPASS POINTS OR NEARBY OBJECTS.
fuck,WATCH IT!
stop,"I DON'T KNOW THE WORD ""STOP"".  USE ""QUIT"" IF YOU WANT TO GIVE UP."
swim,I DON'T KNOW HOW.
